湖南频道,#genre#
湖南电视剧,http://58.46.69.155:8188/udp/239.76.253.108:9000
长沙新闻综合,http://58.46.210.223:4022/udp/239.76.253.121:9000
湖南娱乐,http://58.46.210.223:4022/udp/239.76.253.105:9000
湖南国际,http://58.46.210.223:4022/udp/239.76.252.240:9000
金鹰纪实,http://61.159.135.101:4022/rtp/238.255.2.108:5999
湖南经视,http://175.8.129.208:4000/udp/239.76.245.116:1234
湖南电视剧,http://175.8.129.208:4000/udp/239.76.252.118:9000
湖南教育台,http://175.8.129.208:4000/udp/239.76.252.233:9000
湖南公共,http://220.169.100.41:10087/udp/239.76.246.109:1234
长沙新闻,http://175.8.129.208:4000/udp/239.76.246.121:1234
湖南经视,http://220.169.100.41:10087/udp/239.76.245.116:1234
湖南经视,http://175.8.129.208:4000/udp/239.76.253.103:9000
长沙新闻,http://220.169.100.41:10087/udp/239.76.246.121:1234
金鹰纪实,http://220.169.100.41:10087/udp/239.76.245.122:1234
湖南电影,http://175.8.129.208:4000/udp/239.76.245.119:1234
湘潭新闻综合,http://58.46.210.223:4022/udp/239.76.248.4:1234
金鹰纪实,http://219.144.113.58:8888/rtp/239.112.205.203:5140
衡阳新闻综合,http://58.46.69.155:8188/udp/239.76.255.13:9000
湖南国际,http://220.169.100.41:10087/udp/239.76.245.124:1234
湖南电影,http://220.169.100.41:10087/udp/239.76.246.106:1234
湖南电视剧,http://220.169.100.41:10087/udp/239.76.246.108:1234
金鹰纪实,http://58.46.69.155:8188/udp/239.76.252.122:9000
湖南都市,http://58.46.210.223:4022/udp/239.76.252.117:9000
金鹰纪实,http://111.224.75.87:4022/rtp/239.254.200.189:6293
金鹰纪实,http://220.176.218.147:9000/udp/239.252.220.155:5140
湖南国际,http://58.46.210.223:4022/udp/239.76.246.102:1234
长沙政法,http://220.169.100.41:10087/udp/239.76.246.122:1234
湖南都市,http://220.169.100.41:10087/udp/239.76.246.104:1234
金鹰纪实,http://117.30.59.104:18888/rtp/239.61.3.7:9560
湖南电视剧,http://58.46.210.223:4022/udp/239.76.246.108:1234
金鹰纪实,http://220.169.100.41:10087/udp/239.76.252.122:9000
湖南经视,http://58.46.69.155:8188/udp/239.76.246.103:1234
