数字频道,#genre#
魅力足球,http://111.162.207.216:8686/rtp/225.1.1.137:5002
天元围棋,http://61.159.135.101:4022/rtp/238.255.2.7:5999
快乐垂钓,http://114.107.45.71:8188/rtp/238.1.79.31:4360
五星体育,http://180.165.24.227:4022/rtp/239.45.3.210:5140
快乐垂钓,http://58.46.69.155:8188/udp/239.76.245.127:1234
快乐垂钓,http://220.176.218.147:9000/udp/239.252.220.177:5140
天元围棋,http://171.213.229.178:5555/udp/239.93.42.55:5140
快乐垂钓,http://111.226.232.182:10010/rtp/239.254.200.229:6257
金鹰纪实,http://175.8.129.208:4000/udp/239.76.245.122:1234
快乐垂钓,http://175.8.129.208:4000/udp/239.76.252.127:9000
中国天气,http://175.8.129.208:4000/udp/239.76.246.61:1234
金鹰纪实,http://219.141.45.235:8188/rtp/238.255.2.108:5999
金鹰纪实,http://58.46.69.155:8188/udp/239.76.245.122:1234
天元围棋,http://220.169.100.41:10087/udp/239.76.253.2:9000
魅力足球,http://175.8.129.208:4000/udp/239.76.254.72:9000
魅力足球,http://220.169.100.41:10087/udp/239.76.254.72:9000
快乐垂钓,http://175.8.129.208:4000/udp/239.76.246.5:1234
魅力足球,http://58.46.210.223:4022/udp/239.76.254.72:9000
中国天气,http://58.46.210.223:4022/udp/239.76.253.61:9000
