台湾频道,#genre#
Momo TV,http://000.hfr1107.top/tv/smt.php?id=momo1_twn
Baby TV,http://000.hfr1107.top/tv/smt.php?id=babytv_twn
MiaoMi,http://000.hfr1107.top/tv/smt.php?id=MiaoMi
Cartoon Network,http://000.hfr1107.top/tv/smt.php?id=Cn
Nickelodeon,http://000.hfr1107.top/tv/smt.php?id=Nickelodeon
Nick Jr,http://000.hfr1107.top/tv/smt.php?id=Nickjr

新加坡频道,#genre#
Channel 5,http://000.hfr1107.top/tv/smt.php?id=Channel5HD
Channel 8,http://000.hfr1107.top/tv/smt.php?id=Channel8HD
Suria,http://000.hfr1107.top/tv/smt.php?id=Suria
Channel U,http://000.hfr1107.top/tv/smt.php?id=ChannelU
Vasantham,http://000.hfr1107.top/tv/smt.php?id=Vasantham
CNA backup,http://000.hfr1107.top/tv/smt.php?id=cna_twn
MeWatch Ch 5,http://000.hfr1107.top/tv/smt.php?id=Mewatch_ch5
MeWatch Ch 8,http://000.hfr1107.top/tv/smt.php?id=Mewatch_ch8
MeWatch Ch U,http://000.hfr1107.top/tv/smt.php?id=Mewatch_chU
MeWatch Suria,http://000.hfr1107.top/tv/smt.php?id=Mewatch_Suria
MeWatch Vasantham,http://000.hfr1107.top/tv/smt.php?id=Mewatch_Vasantham
MeWatch CNA,http://000.hfr1107.top/tv/smt.php?id=Mewatch_cna

马来西亚频道,#genre#
华丽台 HD （Wah Lai Toi）,http://000.hfr1107.top/tv/smt.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://000.hfr1107.top/tv/smt.php?id=Huahee
TVB 星河台 Xing He,http://000.hfr1107.top/tv/smt.php?id=Xinhe
爱奇艺 iQiyi,http://000.hfr1107.top/tv/smt.php?id=Qiyi
TV1,http://000.hfr1107.top/tv/smt.php?id=TV1
TV1 backup,http://000.hfr1107.top/tv/smt.php?id=TV1_backup
TV2,http://000.hfr1107.top/tv/smt.php?id=TV2
TV3,http://000.hfr1107.top/tv/smt.php?id=TV3
TV3 SD,http://000.hfr1107.top/tv/smt.php?id=TV3_mega
NTV7,http://000.hfr1107.top/tv/smt.php?id=NTV7
TV8,http://000.hfr1107.top/tv/smt.php?id=TV8
TV9,http://000.hfr1107.top/tv/smt.php?id=TV9
Ria,http://000.hfr1107.top/tv/smt.php?id=Ria-0
Ria-3,http://000.hfr1107.top/tv/smt.php?id=Ria_backup
Al-Hijrah,http://000.hfr1107.top/tv/smt.php?id=Alhijrah
Al-Hijrah backup,http://000.hfr1107.top/tv/smt.php?id=Alhijrah_backup
Awani,http://000.hfr1107.top/tv/smt.php?id=Awani
Bernama,http://000.hfr1107.top/tv/smt.php?id=Bernama
Prima,http://000.hfr1107.top/tv/smt.php?id=Prima-0
Prima backup,http://000.hfr1107.top/tv/smt.php?id=AAprima1
Prima backup 2,http://000.hfr1107.top/tv/smt.php?id=AAprima
Ceria,http://000.hfr1107.top/tv/smt.php?id=Ceria
Astro MTV,http://000.hfr1107.top/tv/smt.php?id=AstroMTV
Mecca Live HD,http://000.hfr1107.top/tv/smt.php?id=quran_mido
Madinah HD,http://000.hfr1107.top/tv/smt.php?id=sunnah_mido
