更新时间,#genre#
CCTV央视台球,http://119.98.133.143:8088/rtp/239.69.1.98:10224
CCTV央视台球,http://27.184.65.110:58888/rtp/239.254.201.171:7176
CCTV央视台球,http://106.59.3.132:55555/rtp/239.200.200.135:8076
CCTV央视台球,http://59.172.69.163:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://183.162.205.235:4022/rtp/238.1.79.59:4608
CCTV央视台球,http://106.118.22.160:8188/rtp/239.254.201.171:7176
CCTV央视台球,http://222.169.99.87:7777/rtp/239.37.0.163:5540
CCTV央视台球,http://111.226.232.182:10010/rtp/239.254.201.171:7176
CCTV央视台球,http://117.57.37.24:4022/rtp/238.1.79.59:4608
CCTV央视台球,http://106.116.241.211:9999/rtp/239.254.201.171:7176
CCTV央视台球,http://117.13.121.247:4022/rtp/225.1.2.170:5002
CCTV央视台球,http://111.162.207.216:8686/rtp/225.1.2.170:5002
CCTV央视台球,http://27.189.126.108:4022/rtp/239.254.201.171:7176
CCTV央视台球,http://61.159.135.101:4022/rtp/238.255.2.224:5999
CCTV央视台球,http://27.18.157.225:2701/rtp/239.69.1.98:10224
CCTV央视台球,http://113.104.185.171:7088/udp/239.253.43.11:5146
CCTV央视台球,http://59.35.185.47:8188/udp/239.253.43.11:5146
CHC影迷电影,http://39.89.122.41:8188/rtp/239.253.254.154:8000
CHC影迷电影,http://42.238.246.97:8012/rtp/225.1.4.207:1260
CHC影迷电影,http://119.98.133.143:8088/rtp/239.69.1.241:11088
CHC影迷电影,http://124.135.64.121:22222/rtp/239.253.254.154:8000
CHC影迷电影,http://117.12.150.180:4022/rtp/225.1.1.214:5002
CHC影迷电影,http://122.189.103.140:8010/rtp/228.0.0.233:6108
CHC影迷电影,http://123.4.213.228:8188/rtp/225.1.4.207:1260
CHC影迷电影,http://175.8.129.208:4000/udp/239.76.252.242:9000
CHC影迷电影,http://220.169.100.41:10087/udp/239.76.245.242:1234
CHC影迷电影,http://59.172.69.163:4022/rtp/239.69.1.241:11088
CHC影迷电影,http://221.234.128.5:4022/rtp/239.69.1.241:11088
CHC影迷电影,http://58.46.69.155:8188/udp/239.76.252.242:9000
CHC影迷电影,http://27.18.157.225:2701/rtp/239.69.1.241:11088
CHC影迷电影,http://119.98.98.208:4022/rtp/239.69.1.241:11088
CHC影迷电影,http://220.169.100.41:10087/udp/239.76.252.242:9000
CHC影迷电影,http://106.59.3.132:55555/rtp/239.200.201.34:8148
CHC影迷电影,http://220.176.218.147:9000/udp/239.252.219.83:5140
CHC影迷电影,http://222.169.99.87:7777/rtp/239.37.0.187:5540
CHC影迷电影,http://117.13.121.247:4022/rtp/225.1.1.214:5002
CHC影迷电影,http://58.46.210.223:4022/udp/239.76.252.242:9000
CHC影迷电影,http://111.162.207.216:8686/rtp/225.1.1.214:5002
CHC影迷电影,http://175.8.129.208:4000/udp/239.76.245.242:1234
CHC影迷电影,http://58.46.69.155:8188/udp/239.76.245.242:1234
CCTV女性时尚,http://116.23.98.153:7188/udp/239.253.43.8:5146
CCTV女性时尚,http://61.140.125.229:10022/udp/239.253.43.8:5146
CCTV女性时尚,http://114.107.45.71:8188/rtp/238.1.79.55:4576
CCTV女性时尚,http://113.101.245.46:9988/udp/239.253.43.8:5146
CCTV女性时尚,http://183.164.63.167:5000/rtp/238.1.79.55:4576
CCTV女性时尚,http://59.35.185.47:8188/udp/239.253.43.8:5146
CCTV女性时尚,http://121.29.169.117:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://111.224.75.87:4022/rtp/239.254.201.228:7255
CCTV女性时尚,http://171.119.205.171:6000/rtp/226.0.2.226:9720
CCTV女性时尚,http://58.46.69.155:8188/udp/239.76.254.55:9000
CCTV女性时尚,http://121.29.215.236:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://219.141.45.25:8188/rtp/238.255.2.27:5999
CCTV女性时尚,http://171.119.207.220:6000/rtp/226.0.2.226:9720
CCTV女性时尚,http://121.29.215.236:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://61.159.135.101:4022/rtp/238.255.2.27:5999
CCTV女性时尚,http://121.29.169.89:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://171.119.205.58:6000/rtp/226.0.2.226:9720
CCTV女性时尚,http://121.29.169.89:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://171.119.205.154:6000/rtp/226.0.2.226:9720
CCTV女性时尚,http://121.29.169.117:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.205:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://118.78.196.46:55555/rtp/226.0.2.226:9720
CCTV女性时尚,http://218.86.187.40:8188/rtp/238.255.2.27:5999
CCTV女性时尚,http://106.118.22.160:8188/rtp/239.254.201.228:7255
CCTV女性时尚,http://121.29.169.205:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://116.2.167.167:4010/rtp/232.0.0.51:1234
CCTV女性时尚,http://218.86.184.144:4022/rtp/238.255.2.27:5999
CCTV女性时尚,http://219.141.45.102:8188/rtp/238.255.2.27:5999
CCTV女性时尚,http://106.59.3.132:55555/rtp/239.200.200.100:8084
CCTV女性时尚,http://111.226.232.182:10010/rtp/239.254.201.228:7255
CCTV女性时尚,http://183.162.205.235:4022/rtp/238.1.79.55:4576
CCTV女性时尚,http://220.176.218.147:9000/udp/239.252.219.94:5140
CCTV女性时尚,http://117.57.37.24:4022/rtp/238.1.79.55:4576
CCTV女性时尚,http://106.116.241.211:9999/rtp/239.254.201.228:7255
CCTV女性时尚,http://113.104.185.171:7088/udp/239.253.43.8:5146
CCTV女性时尚,http://117.13.121.247:4022/rtp/225.1.2.172:5002
CCTV女性时尚,http://111.162.207.216:8686/rtp/225.1.2.172:5002
CCTV女性时尚,http://175.8.129.208:4000/udp/239.76.254.55:9000
CCTV女性时尚,http://27.184.65.110:58888/rtp/239.254.201.228:7255
CCTV女性时尚,http://220.169.100.41:10087/udp/239.76.254.55:9000
CCTV女性时尚,http://58.46.210.223:4022/udp/239.76.254.55:9000
CCTV文化精品,http://61.140.125.229:10022/udp/239.253.43.13:5146
CCTV文化精品,http://113.101.245.46:9988/udp/239.253.43.13:5146
CCTV文化精品,http://116.23.98.153:7188/udp/239.253.43.13:5146
CCTV文化精品,http://171.119.205.154:6000/rtp/226.0.2.219:9664
CCTV文化精品,http://171.119.205.171:6000/rtp/226.0.2.219:9664
CCTV文化精品,http://171.119.205.58:6000/rtp/226.0.2.219:9664
CCTV文化精品,http://220.169.100.41:10087/udp/239.76.254.56:9000
